"Date","Price","Open","High","Low","Vol.","Change %"
"2023-05-05","122.34","122.00","123.71","121.96","632.30K","0.26%"
"2023-05-04","122.02","124.50","124.96","121.47","615.92K","-2.09%"
"2023-05-03","124.63","127.75","127.75","123.57","589.27K","-3.13%"
"2023-05-02","128.66","128.13","129.25","127.68","457.06K","0.12%"
"2023-05-01","128.50","127.71","128.88","127.27","243.99K","0.84%"
"2023-04-28","127.43","127.46","128.23","126.88","315.54K","-0.36%"
"2023-04-27","127.89","127.14","128.49","126.50","392.20K","0.31%"
"2023-04-26","127.50","125.28","127.63","125.28","980.63K","1.41%"
"2023-04-25","125.73","125.76","127.39","125.19","367.80K","-0.01%"
"2023-04-24","125.74","124.55","126.29","124.01","283.07K","0.66%"
"2023-04-21","124.91","122.91","125.38","122.91","439.84K","1.62%"
"2023-04-20","122.92","122.21","124.33","122.21","401.72K","-0.13%"
"2023-04-19","123.08","122.72","124.20","122.72","301.73K","0.24%"
"2023-04-18","122.79","124.14","125.58","122.52","471.71K","-1.09%"
"2023-04-17","124.14","126.16","126.22","123.82","444.22K","-1.60%"
"2023-04-14","126.16","125.35","126.54","124.44","263.23K","0.82%"
"2023-04-13","125.13","125.99","126.39","124.69","368.63K","-0.68%"
"2023-04-12","125.99","126.84","127.05","125.75","195.98K","-0.55%"
"2023-04-11","126.69","125.57","126.99","125.21","251.90K","0.80%"
"2023-04-10","125.68","126.10","126.60","125.19","276.82K","-0.25%"
"2023-04-06","126.00","125.97","126.46","125.21","468.03K","0.07%"
"2023-04-05","125.91","125.85","127.19","125.54","515.10K","0.10%"
"2023-04-04","125.78","124.29","125.94","124.28","395.90K","1.57%"
"2023-04-03","123.83","122.80","124.20","122.55","258.02K","0.54%"
"2023-03-31","123.17","122.92","124.23","122.22","356.80K","0.39%"
"2023-03-30","122.69","121.61","123.00","121.30","326.69K","1.21%"
"2023-03-29","121.22","120.01","122.00","119.95","519.32K","1.05%"
"2023-03-28","119.96","118.71","120.52","118.22","290.43K","1.04%"
"2023-03-27","118.72","116.48","118.84","116.42","334.76K","2.09%"
"2023-03-24","116.29","115.59","116.85","115.48","317.68K","0.95%"
"2023-03-23","115.20","114.25","115.85","113.22","450.31K","0.51%"
"2023-03-22","114.61","114.34","115.51","114.26","259.98K","0.34%"
"2023-03-21","114.22","116.56","117.13","113.92","533.58K","-1.86%"
"2023-03-20","116.39","116.04","117.10","115.16","352.40K","0.28%"
"2023-03-17","116.06","114.22","116.33","113.94","951.99K","0.22%"
"2023-03-16","115.80","116.51","116.82","115.26","390.63K","-0.73%"
"2023-03-15","116.65","113.95","116.74","112.11","536.62K","2.17%"
"2023-03-14","114.17","114.44","114.94","113.20","593.11K","-0.37%"
"2023-03-13","114.59","115.00","115.88","113.74","371.14K","-0.86%"
"2023-03-10","115.58","117.00","117.52","115.00","428.81K","-1.10%"
"2023-03-09","116.86","117.68","118.89","116.64","329.43K","-0.70%"
"2023-03-08","117.68","117.54","118.85","117.38","488.50K","0.19%"
"2023-03-07","117.46","117.58","118.09","117.13","252.97K","-0.10%"
"2023-03-06","117.58","116.77","118.42","116.54","286.92K","0.67%"
"2023-03-03","116.80","115.75","116.92","115.60","658.90K","1.16%"
"2023-03-02","115.46","116.79","117.11","115.05","483.40K","-1.51%"
"2023-03-01","117.23","116.15","118.96","116.04","725.11K","0.53%"
"2023-02-28","116.61","116.40","117.08","115.67","1.10M","-0.41%"
"2023-02-27","117.09","119.33","119.80","116.82","642.26K","-2.12%"
"2023-02-24","119.63","117.99","119.80","117.01","394.59K","1.00%"
"2023-02-23","118.44","119.00","120.81","117.54","600.88K","1.78%"
"2023-02-22","116.37","116.55","117.44","116.14","518.82K","-0.44%"
"2023-02-21","116.88","118.17","119.01","116.60","392.84K","-1.69%"
"2023-02-17","118.89","118.36","119.24","117.69","278.06K","0.39%"
"2023-02-16","118.43","118.26","118.64","117.57","168.65K","-0.15%"
"2023-02-15","118.61","116.90","119.09","116.89","440.38K","1.04%"
"2023-02-14","117.39","118.01","118.14","116.82","337.41K","-0.78%"
"2023-02-13","118.31","117.21","119.15","117.01","382.60K","1.02%"
"2023-02-10","117.11","117.13","118.17","116.76","348.59K","-0.28%"
"2023-02-09","117.44","116.71","118.36","116.58","626.18K","0.64%"
"2023-02-08","116.69","114.04","117.02","114.01","397.65K","2.23%"
"2023-02-07","114.14","116.87","116.87","113.99","411.64K","-1.95%"
"2023-02-06","116.41","115.00","116.56","114.53","309.56K","1.02%"
"2023-02-03","115.24","115.05","115.46","114.55","403.71K","0.28%"
"2023-02-02","114.92","115.32","115.71","114.05","749.86K","-0.49%"
"2023-02-01","115.49","119.28","119.98","115.14","666.86K","-3.11%"
"2023-01-31","119.20","118.65","120.03","118.49","691.05K","0.00%"
"2023-01-30","119.20","120.92","121.81","118.79","685.56K","-1.48%"
"2023-01-27","120.99","119.98","121.63","119.98","733.65K","0.95%"
"2023-01-26","119.85","119.85","120.62","119.00","436.03K","-0.39%"
"2023-01-25","120.32","119.38","120.81","118.95","387.71K","0.78%"
"2023-01-24","119.39","118.57","120.33","118.25","310.56K","0.69%"
"2023-01-23","118.57","118.15","118.66","117.11","291.10K","0.35%"
"2023-01-20","118.16","117.79","118.96","117.39","379.49K","0.36%"
"2023-01-19","117.74","117.30","119.37","117.29","473.56K","0.35%"
"2023-01-18","117.33","117.79","119.22","116.30","448.84K","-0.79%"
"2023-01-17","118.26","118.42","119.21","118.18","540.34K","0.14%"
"2023-01-16","118.09","115.53","118.61","115.30","214.38K","1.96%"
"2023-01-13","115.82","116.47","116.63","115.39","696.21K","-0.26%"
"2023-01-12","116.12","117.95","118.18","115.89","653.32K","-1.38%"
"2023-01-11","117.75","118.80","119.46","117.30","546.25K","-1.13%"
"2023-01-10","119.09","120.36","120.59","118.53","283.67K","-0.81%"
"2023-01-09","120.06","119.94","121.72","119.42","317.92K","-0.12%"
"2023-01-06","120.21","118.41","121.23","118.41","594.42K","1.56%"
"2023-01-05","118.36","119.33","119.76","118.03","376.65K","-0.95%"
"2023-01-04","119.50","120.64","120.97","119.10","271.50K","-0.69%"
"2023-01-03","120.33","120.45","121.53","120.11","282.93K","0.51%"
"2022-12-30","119.72","119.99","121.34","119.26","361.56K","-0.42%"
"2022-12-29","120.22","122.06","122.60","120.01","194.43K","-1.35%"
"2022-12-28","121.87","122.66","123.40","121.34","191.37K","-1.45%"
"2022-12-23","123.66","122.23","123.72","121.52","271.04K","1.17%"
"2022-12-22","122.23","122.15","122.50","121.41","218.10K","-0.31%"
"2022-12-21","122.61","122.69","123.82","122.09","226.51K","0.10%"
"2022-12-20","122.49","123.01","123.55","121.35","585.68K","-0.26%"
"2022-12-19","122.81","122.14","124.46","122.03","873.45K","0.55%"
"2022-12-16","122.14","120.91","122.56","120.73","1.13M","0.52%"
"2022-12-15","121.51","123.09","123.33","121.13","468.34K","-1.55%"
"2022-12-14","123.42","123.98","125.49","123.10","451.79K","-0.44%"
"2022-12-13","123.96","124.99","125.64","123.86","522.19K","-0.23%"
"2022-12-12","124.24","125.56","126.04","124.08","465.22K","-1.04%"
"2022-12-09","125.55","124.91","126.29","124.04","569.97K","0.60%"
"2022-12-08","124.80","122.09","125.38","121.97","454.91K","2.14%"
"2022-12-07","122.19","120.82","122.81","120.66","525.80K","0.94%"
"2022-12-06","121.05","122.01","122.78","120.40","332.08K","-0.84%"
"2022-12-05","122.07","121.61","123.57","121.56","611.58K","-0.17%"
"2022-12-02","122.28","121.00","122.83","120.43","741.93K","0.62%"
"2022-12-01","121.53","121.29","122.56","120.61","519.64K","0.11%"
"2022-11-30","121.40","121.47","122.93","120.68","1.59M","0.12%"
"2022-11-29","121.26","121.42","122.27","120.42","622.14K","-0.05%"
"2022-11-28","121.32","117.78","121.55","117.78","730.09K","3.03%"
"2022-11-25","117.75","116.73","117.80","116.51","219.91K","0.62%"
"2022-11-24","117.02","117.13","118.00","116.40","164.01K","-0.09%"
"2022-11-23","117.12","114.89","117.40","114.45","460.71K","1.91%"
"2022-11-22","114.92","113.73","115.16","113.12","475.87K","1.36%"
"2022-11-21","113.38","111.30","113.53","110.82","397.67K","2.20%"
"2022-11-18","110.94","110.80","111.46","110.00","548.19K","0.33%"
"2022-11-17","110.57","109.10","111.34","108.92","642.78K","0.74%"
"2022-11-16","109.76","110.30","111.22","109.23","784.16K","2.34%"
"2022-11-15","107.25","108.28","108.46","105.57","582.16K","-0.62%"
"2022-11-14","107.92","109.93","110.81","107.71","834.94K","-1.69%"
"2022-11-11","109.78","112.23","112.73","109.50","518.02K","-1.89%"
"2022-11-10","111.90","114.97","114.97","111.85","654.05K","-0.86%"
"2022-11-09","112.87","114.18","115.10","112.83","431.50K","-0.76%"
"2022-11-08","113.74","112.85","114.24","112.63","279.64K","0.99%"
"2022-11-07","112.62","112.49","114.01","112.45","352.48K","0.23%"
"2022-11-04","112.36","110.88","112.69","110.71","255.34K","1.49%"
"2022-11-03","110.71","111.95","111.95","110.56","205.21K","-1.20%"
"2022-11-02","112.06","112.16","113.19","112.00","257.69K","-0.09%"
"2022-11-01","112.16","112.76","113.00","111.92","322.46K","0.48%"
"2022-10-31","111.62","113.86","113.99","111.36","466.61K","-2.01%"
"2022-10-28","113.91","112.17","114.05","112.17","375.92K","1.35%"
"2022-10-27","112.39","113.53","113.53","112.05","337.65K","-0.92%"
"2022-10-26","113.43","111.35","114.46","111.25","385.73K","1.86%"
"2022-10-25","111.36","111.08","112.67","110.59","384.55K","0.34%"
"2022-10-24","110.98","111.09","112.01","110.42","258.52K","-0.13%"
"2022-10-21","111.12","109.01","111.85","108.82","263.87K","1.56%"
"2022-10-20","109.41","108.80","110.30","108.15","304.71K","0.34%"
"2022-10-19","109.04","110.34","110.54","108.06","268.91K","-1.05%"
"2022-10-18","110.20","110.90","110.90","109.18","268.89K","0.42%"
"2022-10-17","109.74","110.09","110.62","109.32","228.07K","0.43%"
"2022-10-14","109.27","110.20","111.13","109.17","342.59K","0.05%"
"2022-10-13","109.21","107.91","110.22","105.61","333.88K","0.67%"
"2022-10-12","108.48","107.89","109.83","107.47","361.73K","1.02%"
"2022-10-11","107.38","108.00","108.88","106.87","393.07K","-0.27%"
"2022-10-07","107.67","106.14","108.96","105.97","710.14K","0.93%"
"2022-10-06","106.68","111.27","111.32","106.48","433.83K","-4.34%"
"2022-10-05","111.52","112.17","112.73","111.36","252.21K","-0.97%"
"2022-10-04","112.61","112.52","113.77","111.09","343.80K","0.54%"
"2022-10-03","112.01","109.97","113.28","109.50","323.05K","2.40%"
"2022-09-30","109.38","111.35","111.43","109.32","370.95K","-1.70%"
"2022-09-29","111.27","111.32","111.74","110.26","314.63K","-0.04%"
"2022-09-28","111.32","112.63","112.63","110.92","446.55K","-1.18%"
"2022-09-27","112.65","112.96","113.87","112.46","329.27K","0.10%"
"2022-09-26","112.54","111.75","113.34","111.45","468.59K","0.50%"
"2022-09-23","111.98","111.93","113.92","111.39","555.57K","-0.51%"
"2022-09-22","112.55","111.05","112.97","111.05","606.86K","1.28%"
"2022-09-21","111.13","113.08","113.51","111.13","393.09K","-1.53%"
"2022-09-20","112.86","114.09","114.18","111.14","638.30K","-1.10%"
"2022-09-19","114.11","113.53","114.31","113.00","435.23K","0.27%"
"2022-09-16","113.80","112.34","113.99","111.89","1.83M","0.90%"
"2022-09-15","112.79","114.50","114.78","112.35","464.45K","-1.70%"
"2022-09-14","114.74","115.67","115.81","114.53","374.51K","-1.21%"
"2022-09-13","116.14","117.63","119.75","115.74","335.86K","-1.66%"
"2022-09-12","118.10","117.46","118.86","117.08","558.45K","0.54%"
"2022-09-09","117.46","114.76","117.58","114.61","377.84K","2.70%"
"2022-09-08","114.37","115.62","116.01","114.24","342.53K","-0.93%"
"2022-09-07","115.44","116.20","116.53","115.35","357.44K","-0.35%"
"2022-09-06","115.84","116.67","118.34","115.69","450.00K","-1.27%"
"2022-09-02","117.33","117.38","118.81","116.47","427.03K","0.16%"
"2022-09-01","117.14","116.15","117.60","115.94","370.96K","0.92%"
"2022-08-31","116.07","116.00","118.19","115.96","774.27K","-0.34%"
"2022-08-30","116.47","116.71","117.53","116.20","291.35K","0.01%"
"2022-08-29","116.46","116.66","118.07","116.20","254.94K","-0.72%"
"2022-08-26","117.31","118.72","119.20","117.23","490.17K","-1.29%"
"2022-08-25","118.84","119.78","119.78","117.93","321.75K","-0.70%"
"2022-08-24","119.68","121.79","122.08","119.41","538.67K","-1.87%"
"2022-08-23","121.96","123.56","123.91","121.76","380.85K","-1.61%"
"2022-08-22","123.95","122.94","124.10","122.50","402.35K","0.29%"
"2022-08-19","123.59","122.78","123.89","122.05","477.06K","0.48%"
"2022-08-18","123.00","124.00","124.59","122.84","469.16K","-0.97%"
"2022-08-17","124.20","122.02","124.77","121.95","579.23K","1.49%"
"2022-08-16","122.38","119.95","122.47","119.77","700.28K","1.81%"
"2022-08-15","120.21","118.00","120.80","117.54","437.38K","1.88%"
"2022-08-12","117.99","118.17","118.97","117.89","422.64K","-0.18%"
"2022-08-11","118.20","116.21","118.67","115.97","395.80K","1.69%"
"2022-08-10","116.23","115.04","117.09","114.90","434.10K","1.12%"
"2022-08-09","114.94","115.77","116.41","114.74","583.28K","-0.54%"
"2022-08-08","115.56","116.41","117.35","115.03","440.28K","-0.82%"
"2022-08-05","116.52","117.98","118.74","115.97","326.81K","-1.58%"
"2022-08-04","118.39","116.01","118.55","115.28","529.15K","1.93%"
"2022-08-03","116.15","116.36","116.98","115.33","254.02K","-0.27%"
"2022-08-02","116.47","115.57","117.86","115.57","488.84K","-0.09%"
"2022-07-29","116.57","119.67","120.17","116.05","717.14K","-2.60%"
"2022-07-28","119.68","117.97","119.83","116.43","478.14K","2.21%"
"2022-07-27","117.09","120.37","122.30","116.35","831.02K","-3.77%"
"2022-07-26","121.68","118.97","121.80","118.26","230.37K","1.88%"
"2022-07-25","119.43","119.32","120.00","118.64","202.13K","0.04%"
"2022-07-22","119.38","118.62","120.04","118.41","253.97K","0.64%"
"2022-07-21","118.62","118.22","119.07","117.86","347.30K","-0.04%"
"2022-07-20","118.67","118.25","119.09","117.94","326.93K","0.29%"
"2022-07-19","118.33","118.60","120.00","117.88","331.36K","-0.08%"
"2022-07-18","118.43","119.52","120.01","118.25","440.49K","-0.81%"
"2022-07-15","119.40","120.67","121.12","119.34","425.71K","-0.65%"
"2022-07-14","120.18","121.23","123.18","120.10","522.39K","-1.27%"
"2022-07-13","121.73","116.79","122.25","116.39","619.03K","3.71%"
"2022-07-12","117.37","118.64","119.40","116.84","352.39K","-1.07%"
"2022-07-11","118.64","118.99","120.23","118.08","303.34K","-0.39%"
"2022-07-08","119.11","118.20","120.60","118.12","425.38K","0.19%"
"2022-07-07","118.89","115.60","118.98","115.38","668.90K","2.85%"
"2022-07-06","115.60","118.56","120.04","115.31","571.78K","-2.58%"
"2022-07-05","118.66","116.83","118.66","115.33","658.43K","1.70%"
"2022-07-04","116.68","116.06","117.57","115.91","205.33K","0.51%"
"2022-06-30","116.09","115.53","116.28","114.55","651.59K","-0.43%"
"2022-06-29","116.59","113.97","116.64","113.08","391.60K","2.26%"
"2022-06-28","114.01","114.72","115.58","113.86","398.15K","-0.35%"
"2022-06-27","114.41","114.78","115.15","113.40","510.16K","-0.26%"
"2022-06-24","114.71","112.75","114.85","112.55","400.03K","2.14%"
"2022-06-23","112.31","111.88","113.14","110.52","387.99K","0.88%"
"2022-06-22","111.33","111.38","112.22","109.60","441.30K","-0.30%"
"2022-06-21","111.67","111.36","112.86","110.05","477.66K","0.39%"
"2022-06-20","111.24","110.16","111.43","109.83","138.99K","1.37%"
"2022-06-17","109.74","111.09","111.71","109.59","1.33M","-0.80%"
"2022-06-16","110.63","112.10","112.77","110.26","401.41K","-1.71%"
"2022-06-15","112.56","112.52","113.51","111.61","396.69K","0.04%"
"2022-06-14","112.52","112.43","112.69","111.70","634.11K","-0.44%"
"2022-06-13","113.02","113.68","114.55","112.72","808.54K","-1.66%"
"2022-06-10","114.93","114.19","115.49","113.19","698.96K","0.52%"
"2022-06-09","114.34","114.64","115.96","114.09","376.01K","-0.06%"
"2022-06-08","114.41","115.12","115.79","114.17","505.68K","-0.72%"
"2022-06-07","115.24","116.77","116.93","114.25","535.37K","-1.48%"
"2022-06-06","116.97","117.65","119.25","116.87","513.85K","-0.56%"
"2022-06-03","117.63","115.51","118.35","114.63","678.02K","1.69%"
"2022-06-02","115.68","113.41","116.08","113.40","478.37K","2.08%"
"2022-06-01","113.32","117.08","117.08","113.26","604.10K","-2.89%"
"2022-05-31","116.69","116.01","117.84","115.12","1.97M","0.40%"
"2022-05-30","116.23","116.28","116.59","115.78","112.69K","0.14%"
"2022-05-27","116.07","115.27","116.55","114.02","558.38K","1.12%"
"2022-05-26","114.79","113.88","115.59","112.83","672.89K","1.11%"
"2022-05-25","113.53","113.71","114.72","112.34","565.05K","0.20%"
"2022-05-24","113.30","111.71","114.73","110.22","999.33K","1.91%"
"2022-05-20","111.18","109.55","111.18","108.88","660.59K","1.27%"
"2022-05-19","109.79","110.00","110.97","108.68","1.14M","-1.03%"
"2022-05-18","110.93","112.56","113.23","110.29","906.99K","-2.07%"
"2022-05-17","113.27","115.00","115.00","112.71","493.84K","-1.41%"
"2022-05-16","114.89","114.20","116.14","113.15","536.45K","0.52%"
"2022-05-13","114.29","113.92","114.72","112.47","971.19K","0.60%"
"2022-05-12","113.61","111.08","113.83","111.08","961.47K","2.08%"
"2022-05-11","111.29","115.12","115.54","110.95","906.37K","-3.64%"
"2022-05-10","115.49","115.85","116.82","115.36","807.68K","-0.59%"
"2022-05-09","116.18","111.12","117.71","110.35","893.64K","3.95%"
"2022-05-06","111.76","111.70","114.07","111.48","754.08K","-0.44%"
"2022-05-05","112.25","113.00","114.17","111.83","1.58M","-0.37%"
"2022-05-04","112.67","114.12","115.29","110.82","762.91K","-1.18%"
"2022-05-03","114.02","116.41","117.58","113.95","568.36K","-2.11%"
"2022-05-02","116.48","117.57","118.07","116.36","412.67K","-0.88%"
"2022-04-29","117.51","118.19","119.01","117.39","423.34K","-0.66%"
"2022-04-28","118.29","118.83","119.58","118.03","684.24K","0.19%"
"2022-04-27","118.06","116.11","118.33","115.38","586.83K","1.72%"
"2022-04-26","116.06","117.17","117.61","115.70","653.90K","-0.93%"
"2022-04-25","117.15","116.31","117.70","115.23","530.73K","0.58%"
"2022-04-22","116.48","116.68","117.43","115.39","621.23K","0.11%"
"2022-04-21","116.35","117.05","117.41","116.13","615.38K","-0.62%"
"2022-04-20","117.07","118.56","119.35","116.78","439.30K","-1.14%"
"2022-04-19","118.42","115.23","118.76","114.95","502.47K","3.41%"
"2022-04-18","114.52","115.27","115.83","114.00","237.71K","-0.81%"
"2022-04-14","115.46","115.71","116.97","115.35","340.96K","-0.47%"
"2022-04-13","116.01","118.20","118.94","115.56","378.99K","-1.78%"
"2022-04-12","118.11","118.74","119.01","117.52","474.75K","-0.28%"
"2022-04-11","118.44","117.59","119.22","117.00","351.73K","0.59%"
"2022-04-08","117.74","117.00","118.70","116.78","347.54K","0.44%"
"2022-04-07","117.23","115.33","117.30","115.00","330.12K","1.59%"
"2022-04-06","115.40","114.54","115.62","113.58","461.42K","0.16%"
"2022-04-05","115.22","111.99","115.39","111.63","535.67K","3.06%"
"2022-04-04","111.80","110.79","111.84","110.63","269.28K","0.83%"
"2022-04-01","110.88","112.01","112.77","110.23","422.10K","-1.16%"
"2022-03-31","112.18","111.26","113.27","111.26","696.87K","0.92%"
"2022-03-30","111.16","110.67","111.95","110.21","497.28K","0.05%"
"2022-03-29","111.10","110.96","111.62","110.14","367.10K","0.36%"
"2022-03-28","110.70","109.28","110.93","108.49","351.48K","1.12%"
"2022-03-25","109.47","110.03","110.10","108.65","276.24K","-0.05%"
"2022-03-24","109.52","110.39","110.56","108.98","555.16K","-0.83%"
"2022-03-23","110.44","110.11","112.22","109.66","716.20K","0.32%"
"2022-03-22","110.09","110.50","111.32","109.89","429.22K","-0.59%"
"2022-03-21","110.74","111.22","111.75","110.12","355.39K","-0.38%"
"2022-03-18","111.16","113.00","113.59","110.65","2.48M","-2.51%"
"2022-03-17","114.02","114.00","114.81","113.06","651.74K","0.20%"
"2022-03-16","113.79","112.78","115.20","112.78","1.01M","0.43%"
"2022-03-15","113.30","114.59","114.59","111.02","1.05M","-1.08%"
"2022-03-14","114.54","113.64","115.54","113.50","795.63K","-0.18%"
"2022-03-11","114.75","115.10","116.88","113.98","819.38K","-0.10%"
"2022-03-10","114.87","111.54","115.58","111.20","984.96K","1.93%"
"2022-03-09","112.69","113.01","113.48","111.00","975.04K","0.54%"
"2022-03-08","112.08","110.50","112.97","110.02","1.42M","1.20%"
"2022-03-07","110.75","105.41","110.87","105.41","1.23M","4.46%"
"2022-03-04","106.02","101.01","106.24","101.01","601.44K","3.74%"
"2022-03-03","102.20","99.58","102.65","99.58","556.80K","2.72%"
"2022-03-02","99.49","98.13","99.65","98.01","439.05K","1.50%"
"2022-03-01","98.02","98.84","99.64","97.65","497.22K","-0.86%"
"2022-02-28","98.87","99.92","100.63","98.45","1.08M","-2.06%"
"2022-02-25","100.95","99.57","101.43","97.37","810.31K","-0.11%"
"2022-02-24","101.06","95.12","101.49","95.01","694.49K","3.92%"
"2022-02-23","97.25","97.67","98.20","97.11","297.10K","-0.61%"
"2022-02-22","97.85","97.50","98.36","97.09","453.86K","-0.33%"
"2022-02-18","98.17","99.11","99.39","98.11","460.24K","-0.66%"
"2022-02-17","98.82","99.01","99.93","98.50","332.21K","-0.27%"
"2022-02-16","99.09","99.40","100.01","98.69","406.52K","-0.89%"
"2022-02-15","99.98","101.05","101.75","99.72","475.05K","-0.76%"
"2022-02-14","100.75","101.04","101.45","100.06","302.59K","-0.75%"
"2022-02-11","101.51","100.99","101.72","100.50","327.22K","0.88%"
"2022-02-10","100.62","100.86","101.83","100.57","409.90K","-1.26%"
"2022-02-09","101.90","101.64","102.37","101.64","200.24K","0.45%"
"2022-02-08","101.44","100.86","101.90","100.16","455.82K","0.94%"
"2022-02-07","100.50","100.80","101.62","100.21","310.95K","-0.79%"
"2022-02-04","101.30","101.25","101.97","100.57","322.47K","0.05%"
"2022-02-03","101.25","100.77","102.04","100.00","352.39K","0.22%"
"2022-02-02","101.03","97.75","101.56","97.75","524.31K","3.51%"
"2022-02-01","97.60","98.67","98.74","96.96","408.25K","-0.48%"
"2022-01-31","98.07","97.43","99.20","97.43","482.05K","0.03%"
"2022-01-28","98.04","98.10","98.10","97.17","381.81K","0.32%"
"2022-01-27","97.73","96.36","98.53","96.07","747.51K","2.12%"
"2022-01-26","95.70","94.17","96.27","93.60","695.87K","1.96%"
"2022-01-25","93.86","92.46","94.27","92.10","602.33K","0.60%"
"2022-01-24","93.30","92.00","93.51","90.46","790.28K","0.91%"
"2022-01-21","92.46","93.12","94.00","92.34","511.56K","-0.99%"
"2022-01-20","93.38","95.73","96.12","93.15","784.33K","-2.50%"
"2022-01-19","95.77","96.57","96.91","95.15","507.13K","-0.94%"
"2022-01-18","96.68","98.00","98.22","95.98","866.47K","-2.40%"
"2022-01-17","99.06","99.00","99.52","98.86","160.16K","-0.14%"
"2022-01-14","99.20","100.25","100.86","99.04","463.75K","-1.29%"
"2022-01-13","100.50","101.09","101.34","100.31","346.27K","-0.62%"
"2022-01-12","101.13","101.02","102.04","100.84","378.63K","-0.05%"
"2022-01-11","101.18","101.41","101.50","99.66","492.13K","-0.40%"
"2022-01-10","101.59","101.12","101.66","100.67","387.77K","-0.54%"
"2022-01-07","102.14","103.34","103.54","101.94","246.17K","-1.08%"
"2022-01-06","103.25","102.00","103.65","101.89","269.14K","1.21%"
"2022-01-05","102.02","102.51","103.40","101.83","453.28K","-0.69%"
"2022-01-04","102.73","103.35","103.95","102.47","342.64K","-0.88%"
"2021-12-31","103.64","103.65","103.95","103.06","178.73K","-0.13%"
"2021-12-30","103.78","104.44","104.82","103.66","126.05K","-0.61%"
"2021-12-29","104.42","103.60","105.15","103.60","349.17K","0.81%"
"2021-12-24","103.58","103.48","103.82","103.15","112.65K","0.39%"
"2021-12-23","103.18","103.46","103.92","103.08","466.70K","-0.55%"
"2021-12-22","103.75","103.14","103.79","102.67","320.52K","0.41%"
"2021-12-21","103.33","103.14","104.18","102.80","395.39K","0.33%"
"2021-12-20","102.99","103.41","104.25","102.83","529.14K","-0.53%"
"2021-12-17","103.54","102.96","104.85","102.57","1.34M","0.56%"
"2021-12-16","102.96","102.37","104.07","102.27","542.19K","0.42%"
"2021-12-15","102.53","101.00","103.15","100.70","833.32K","1.66%"
"2021-12-14","100.86","99.02","101.03","98.97","449.47K","0.81%"
"2021-12-13","100.05","98.75","100.78","98.62","745.15K","0.85%"
"2021-12-10","99.21","98.63","99.77","98.42","563.50K","0.75%"
"2021-12-09","98.47","97.15","98.87","97.14","606.73K","1.46%"
"2021-12-08","97.05","97.70","97.92","96.57","677.45K","-1.01%"
"2021-12-07","98.04","98.33","98.75","97.79","421.64K","-0.20%"
"2021-12-06","98.24","97.52","98.64","97.39","257.72K","0.87%"
"2021-12-03","97.39","97.65","98.33","96.91","274.50K","-0.41%"
"2021-12-02","97.79","95.53","98.57","95.28","547.36K","2.31%"
"2021-12-01","95.58","96.57","97.05","95.47","361.53K","-0.75%"
"2021-11-30","96.30","97.70","97.70","95.58","1.30M","-0.58%"
"2021-11-29","96.86","96.66","97.86","96.52","738.09K","0.44%"
"2021-11-26","96.44","97.20","98.10","96.40","762.69K","-0.91%"
"2021-11-25","97.33","96.41","97.85","96.41","427.89K","0.95%"
"2021-11-24","96.41","97.56","97.72","96.31","817.64K","-1.21%"
"2021-11-23","97.59","95.44","97.70","94.88","853.80K","1.65%"
"2021-11-22","96.01","98.00","98.22","95.80","1.01M","-2.03%"
"2021-11-19","98.00","98.25","98.93","97.83","559.71K","-0.30%"
"2021-11-18","98.29","96.80","98.52","95.79","666.34K","1.25%"
"2021-11-17","97.08","98.69","98.69","96.86","556.65K","-1.24%"
"2021-11-16","98.30","98.30","99.11","98.14","321.94K","-0.06%"
"2021-11-15","98.36","98.29","98.93","98.02","319.63K","0.30%"
"2021-11-12","98.07","98.42","99.34","98.04","256.35K","-0.37%"
"2021-11-11","98.43","97.59","98.51","97.19","242.52K","0.79%"
"2021-11-10","97.66","96.94","97.99","96.66","192.19K","0.70%"
"2021-11-09","96.98","96.31","97.51","96.16","373.76K","1.17%"
"2021-11-08","95.86","95.37","95.98","94.83","321.70K","0.51%"
"2021-11-05","95.37","95.66","95.99","95.16","301.14K","-0.31%"
"2021-11-04","95.67","93.90","95.81","93.90","328.60K","1.81%"
"2021-11-03","93.97","94.88","95.28","93.92","367.53K","-1.01%"
"2021-11-02","94.93","93.28","94.99","93.10","351.94K","1.87%"
"2021-11-01","93.19","93.20","93.59","92.32","251.85K","0.12%"
"2021-10-29","93.08","93.04","93.78","92.95","513.14K","0.06%"
"2021-10-28","93.02","92.88","93.58","92.63","413.89K","0.02%"
"2021-10-27","93.00","94.58","94.89","92.38","510.47K","-1.90%"
"2021-10-26","94.80","95.28","95.49","94.49","500.70K","-0.12%"
"2021-10-25","94.91","94.11","95.44","93.70","491.64K","0.96%"
"2021-10-22","94.01","93.37","94.18","92.99","217.77K","0.74%"
"2021-10-21","93.32","91.60","93.75","91.60","327.17K","1.89%"
"2021-10-20","91.59","91.61","92.57","91.28","356.73K","-0.49%"
"2021-10-19","92.04","93.12","93.26","91.60","346.17K","-1.10%"
"2021-10-18","93.06","92.00","93.39","91.03","305.68K","0.98%"
"2021-10-15","92.16","91.07","92.18","90.80","308.93K","0.95%"
"2021-10-14","91.29","92.00","92.00","90.96","361.44K","-0.51%"
"2021-10-13","91.76","90.50","92.00","89.94","1.26M","1.45%"
