"Date","Price","Open","High","Low","Vol.","Change %"
"2024-06-11","158.60","159.70","159.99","157.72","402.07K","-0.68%"
"2024-06-10","159.69","160.51","161.10","159.48","217.13K","-0.77%"
"2024-06-07","160.93","161.76","162.41","160.42","298.04K","-0.57%"
"2024-06-06","161.86","161.82","164.94","161.41","355.15K","0.19%"
"2024-06-05","161.56","161.33","162.50","161.04","646.50K","0.40%"
"2024-06-04","160.91","160.00","161.50","159.51","482.69K","0.81%"
"2024-06-03","159.62","157.90","160.21","157.88","679.17K","0.83%"
"2024-05-31","158.30","156.30","158.40","155.01","1.39M","1.49%"
"2024-05-30","155.98","154.93","157.13","154.47","430.15K","0.60%"
"2024-05-29","155.05","153.33","155.61","152.51","457.43K","0.68%"
"2024-05-28","154.00","155.53","155.86","152.39","496.13K","-1.34%"
"2024-05-27","156.09","156.66","156.91","155.55","130.19K","-0.36%"
"2024-05-24","156.66","156.58","158.40","155.94","683.13K","0.26%"
"2024-05-23","156.25","156.63","156.96","154.56","440.49K","0.37%"
"2024-05-22","155.67","155.63","156.65","154.46","539.82K","-0.22%"
"2024-05-21","156.02","156.90","157.86","155.62","331.86K","-0.93%"
"2024-05-17","157.48","157.12","157.91","156.03","252.94K","0.26%"
"2024-05-16","157.07","155.60","157.93","154.02","520.38K","1.24%"
"2024-05-15","155.14","155.38","156.00","154.39","355.33K","-0.40%"
"2024-05-14","155.76","155.39","156.03","154.58","206.11K","0.04%"
"2024-05-13","155.70","155.88","156.81","154.89","306.33K","-0.27%"
"2024-05-10","156.12","156.03","157.11","155.80","371.75K","0.32%"
"2024-05-09","155.62","156.80","157.20","155.24","259.15K","-0.72%"
"2024-05-08","156.75","154.58","157.60","154.58","501.62K","1.46%"
"2024-05-07","154.50","155.78","156.49","154.45","362.97K","-0.63%"
"2024-05-06","155.48","154.18","156.52","154.18","316.22K","1.01%"
"2024-05-03","153.93","154.73","154.73","152.74","236.89K","-0.44%"
"2024-05-02","154.61","153.80","155.22","153.36","281.82K","1.16%"
"2024-05-01","152.84","146.99","153.69","146.49","207.09K","1.25%"
"2024-04-30","150.96","152.30","152.58","150.91","194.63K","-1.10%"
"2024-04-29","152.64","152.39","152.92","151.29","250.62K","0.18%"
"2024-04-26","152.37","152.28","153.50","151.90","192.97K","-0.04%"
"2024-04-25","152.43","151.91","153.49","150.21","199.55K","0.11%"
"2024-04-24","152.27","150.24","152.33","150.24","337.72K","1.29%"
